240716,15.1,15.1,14.7,82,83,82,930.6,930.7,930.4,0.0,1
240716,15.1,15.3,15.0,82,82,81,930.8,930.8,930.6,0.0,2
240716,15.3,15.5,15.0,80,82,80,930.3,930.8,930.2,0.0,3
240716,15.4,15.6,15.2,82,82,80,930.0,930.3,930.0,0.0,4
240716,14.8,15.4,14.8,84,84,81,929.7,930.0,929.7,0.0,5
240716,14.3,14.9,14.2,86,86,84,929.8,929.8,929.7,0.0,6
240716,13.8,14.4,13.8,88,88,86,929.6,929.9,929.6,0.0,7
240716,13.6,13.9,13.5,89,89,88,929.4,929.6,929.4,0.0,8
240716,13.3,13.6,13.3,91,91,89,929.5,929.5,929.3,0.0,9
240716,13.2,13.3,13.1,91,91,91,930.1,930.1,929.5,0.0,10
240716,13.1,13.2,13.1,92,92,91,930.7,930.7,930.1,0.0,11
240716,13.3,13.3,13.0,92,92,92,931.2,931.2,930.7,0.0,12
240716,15.6,16.0,13.2,81,92,80,931.4,931.4,931.2,0.0,13
240716,18.2,18.2,15.6,69,81,68,931.7,931.7,931.4,0.0,14
240716,22.7,22.7,18.2,54,69,54,931.4,931.7,931.4,0.0,15
240716,25.1,25.2,22.6,45,55,44,930.8,931.4,930.8,0.0,16
240716,25.9,26.2,25.1,38,45,38,930.2,930.8,930.1,0.0,17
240716,26.3,26.6,25.8,36,39,36,929.6,930.2,929.6,0.0,18
240716,26.7,27.3,26.3,33,37,31,929.5,929.6,929.4,0.0,19
240716,26.4,27.2,26.4,31,32,29,929.5,929.5,929.4,0.0,20
240716,25.7,26.6,25.7,32,33,30,929.7,929.8,929.4,0.0,21
240716,22.3,25.7,22.3,50,50,32,930.2,930.2,929.7,0.0,22
240716,20.2,22.3,20.2,59,59,50,930.6,930.6,930.2,0.0,23
240716,19.3,20.3,19.3,62,62,59,931.1,931.1,930.6,0.0,24
250716,18.4,19.3,18.3,64,64,62,931.5,931.5,931.1,0.0,25
250716,17.5,18.4,17.4,67,67,64,931.7,931.7,931.5,0.0,26
250716,17.2,17.7,17.1,67,67,65,931.6,931.8,931.6,0.0,27
250716,16.8,17.2,16.8,67,67,66,931.5,931.6,931.5,0.0,28
250716,16.4,16.8,16.4,70,70,68,931.4,931.6,931.4,0.0,29
250716,15.6,16.4,15.5,73,73,70,931.3,931.5,931.3,0.0,30
250716,15.7,16.2,15.6,73,73,70,931.1,931.3,931.1,0.0,31
250716,15.5,15.8,15.5,75,75,73,930.7,931.1,930.7,0.0,32
250716,15.1,15.5,15.1,78,78,75,930.6,930.7,930.6,0.0,33
250716,14.6,15.1,14.3,80,81,78,931.1,931.1,930.6,0.0,34
250716,14.6,14.7,14.4,80,81,80,931.4,931.4,931.1,0.0,35
250716,16.8,16.8,14.6,73,80,73,932.1,932.1,931.4,0.0,36
250716,18.1,18.1,16.4,66,73,66,932.5,932.5,932.1,0.0,37
250716,19.9,20.3,18.1,59,66,58,932.7,932.7,932.5,0.0,38
250716,21.6,22.1,20.0,53,60,52,932.3,932.7,932.3,0.0,39
250716,23.7,23.8,21.6,47,54,46,931.7,932.3,931.7,0.0,40
250716,23.8,24.4,22.8,44,48,43,930.6,931.7,930.6,0.0,41
250716,25.0,25.2,23.7,41,45,41,929.7,930.6,929.7,0.0,42
250716,25.4,25.4,24.8,38,41,33,929.2,929.7,929.2,0.0,43
250716,24.7,25.7,24.7,38,38,31,929.2,929.3,929.1,0.0,44
250716,23.5,25.3,23.5,45,45,38,929.3,929.3,929.1,0.0,45
250716,21.5,23.5,21.5,51,51,45,929.3,929.4,929.2,0.0,46
250716,20.8,21.6,20.8,49,55,49,929.7,929.7,929.3,0.0,47
250716,19.4,20.8,19.4,53,53,49,930.0,930.0,929.7,0.0,48
260716,18.5,19.4,18.5,57,57,53,930.2,930.2,930.0,0.0,49
260716,17.8,18.5,17.7,62,62,57,930.3,930.3,930.1,0.0,50
260716,17.1,17.8,17.1,66,66,62,930.1,930.3,930.1,0.0,51
260716,16.6,17.1,16.6,67,67,66,929.8,930.1,929.8,0.0,52
260716,16.5,16.7,16.5,66,67,66,929.6,929.8,929.6,0.0,53
260716,15.8,16.5,15.8,70,70,66,929.3,929.6,929.3,0.0,54
260716,14.8,15.8,14.8,74,74,70,929.1,929.3,929.1,0.0,55
260716,14.8,15.1,14.7,74,75,73,928.8,929.1,928.7,0.0,56
260716,14.4,14.8,14.3,76,76,74,928.5,928.8,928.4,0.0,57
260716,13.5,14.4,13.5,79,79,76,928.9,928.9,928.5,0.0,58
260716,13.4,13.5,12.9,81,82,79,929.4,929.4,928.9,0.0,59
260716,16.2,16.2,13.4,70,81,70,929.6,929.6,929.4,0.0,60
260716,18.6,18.7,16.2,59,70,59,930.0,930.0,929.6,0.0,61
260716,23.2,23.2,18.5,44,59,44,929.8,930.1,929.8,0.0,62
260716,24.2,24.3,23.1,36,44,36,929.2,929.8,929.2,0.0,63
260716,25.3,25.7,24.1,34,37,33,928.5,929.2,928.5,0.0,64
260716,25.8,26.1,25.0,28,34,28,927.7,928.5,927.7,0.0,65
260716,26.0,26.4,25.5,28,29,28,926.9,927.7,926.8,0.0,66
260716,26.0,26.9,26.0,28,29,27,926.5,926.9,926.4,0.0,67
260716,26.2,26.5,25.7,28,29,27,926.4,926.5,926.3,0.0,68
260716,25.4,26.4,25.4,30,30,28,926.3,926.4,926.2,0.0,69
260716,24.0,25.4,24.0,34,34,30,926.8,926.8,926.3,0.0,70
260716,23.3,24.0,23.2,36,37,34,927.3,927.3,926.8,0.0,71
